id;start_date;end_date;language
1;2019-10-14T17:43:14;2019-10-14T10:51:31;ENGLISH
2;2019-10-14T19:13:20;2019-10-14T04:19:30;SPANISH
3;2019-10-14T14:45:24;2019-10-14T06:09:24;FRENCH
4;2019-10-14T03:57:16;2019-10-14T11:24:17;ENGLISH
5;2019-10-14T12:55:55;2019-10-14T17:40:03;SPANISH
6;2019-10-14T19:12:55;2019-10-14T20:29:51;ENGLISH
7;2019-10-14T04:35:15;2019-10-14T17:16:02;ENGLISH
8;2019-10-14T02:06:34;2019-10-14T10:06:43;FRENCH
9;2019-10-14T11:54:40;2019-10-14T20:19:18;FRENCH
10;2019-10-14T15:12:49;2019-10-14T12:29:04;ENGLISH
